visa_type,country,processing_center,processing_time_days
Work,Brazil,Tokyo,53
Business,USA,Paris,43
Work,France,London,20
Student,Australia,Berlin,27
Business,Australia,Sao Paulo,12
Tourist,China,New York,51
Family,Canada,Sydney,45
Business,Japan,Delhi,48
Student,Germany,Tokyo,48
Family,India,New York,44
Tourist,USA,Berlin,26
Work,India,Beijing,43
Work,Japan,Toronto,18
Business,Brazil,London,17
Family,India,New York,25
Student,UK,Delhi,41
Student,Australia,Berlin,55
Tourist,Australia,Sao Paulo,31
Family,Japan,Tokyo,47
Family,Japan,Sao Paulo,12
Work,China,Sao Paulo,39
Tourist,India,Delhi,48
Tourist,Brazil,Sao Paulo,27
Tourist,Japan,Sao Paulo,17
Family,USA,Beijing,47
Work,Brazil,Sydney,43
Tourist,Brazil,Sao Paulo,30
Work,China,Delhi,25
Tourist,Germany,Sao Paulo,24
Family,USA,Toronto,22
Work,Japan,Sydney,43
Business,Canada,Paris,11
Tourist,Brazil,London,12
Family,Japan,Sao Paulo,24
Work,Japan,Beijing,48
Student,France,Sydney,19
Family,UK,Berlin,23
Family,Japan,Paris,14
Student,UK,Sao Paulo,27
Student,Japan,Paris,17
Business,USA,London,10
Business,Germany,Delhi,43
Business,USA,Beijing,21
Family,Canada,New York,21
Family,USA,Sao Paulo,37
Family,France,London,48
Business,USA,Sao Paulo,34
Work,Japan,Berlin,48
Family,USA,Delhi,48
Family,China,Toronto,16
Family,Germany,Sao Paulo,36
Business,Japan,Sao Paulo,54
Tourist,UK,New York,15
Business,USA,Berlin,59
Tourist,Australia,Beijing,20
Business,India,Toronto,51
Work,Canada,Toronto,16
Work,France,Paris,37
Family,UK,New York,45
Business,Canada,Toronto,19
Tourist,Japan,Beijing,45
Tourist,India,Delhi,16
Work,Japan,Delhi,17
Family,India,Paris,40
Tourist,China,New York,44
Business,India,Sao Paulo,35
Family,France,Sao Paulo,51
Business,Germany,Berlin,27
Business,UK,Sydney,24
Work,Canada,Toronto,30
Business,USA,Berlin,30
Student,Brazil,Berlin,36
Family,Canada,Delhi,19
Student,Canada,Toronto,47
Business,Japan,Sao Paulo,44
Business,Canada,Paris,23
Work,USA,Tokyo,55
Work,UK,Sydney,38
Work,Australia,Paris,10
Work,India,Paris,60
Tourist,Australia,Beijing,46
Work,Canada,Tokyo,11
Business,USA,London,31
Business,USA,Toronto,46
Family,USA,Delhi,42
Student,UK,Sydney,38
Tourist,Brazil,Sao Paulo,28
Tourist,USA,Tokyo,10
Family,UK,Sydney,52
Family,Japan,Paris,27
Work,UK,New York,25
Family,Germany,Delhi,55
Tourist,UK,Berlin,49
Student,Australia,New York,21
Student,Japan,Beijing,48
Tourist,Australia,London,23
Work,China,Sydney,18
Student,Canada,London,33
Student,France,Delhi,31
Work,France,Paris,54
Student,Germany,London,58
Business,Canada,Toronto,44
Tourist,Japan,New York,27
Student,India,New York,34
Student,China,Sao Paulo,26
Work,Brazil,Beijing,32
Student,Germany,Berlin,43
Work,Canada,Beijing,41
Tourist,China,New York,59
Business,Canada,London,47
Family,India,Toronto,11
Tourist,China,Delhi,15
Student,India,Sydney,53
Business,USA,Toronto,37
Family,Japan,Sydney,17
Family,Canada,Sydney,13
Student,Japan,Paris,38
Family,Japan,Tokyo,47
Family,Brazil,Sydney,11
Tourist,Canada,Tokyo,28
Tourist,UK,Toronto,57
Family,China,New York,46
Work,Canada,London,12
Student,Australia,Toronto,41
Work,Australia,Sydney,36
Work,France,Tokyo,53
Family,France,Sydney,50
Student,France,Delhi,52
Work,UK,New York,35
Tourist,China,Sydney,52
Tourist,China,Berlin,59
Student,Germany,Tokyo,11
Work,Canada,London,44
Business,China,Paris,52
Business,Brazil,Sydney,11
Student,Canada,Delhi,50
Student,India,Delhi,35
Business,China,Sao Paulo,11
Work,Germany,Delhi,42
Work,UK,Beijing,24
Family,Germany,London,10
Student,Canada,Toronto,41
Work,India,Sydney,59
Business,China,Beijing,28
Business,Brazil,Delhi,23
Tourist,UK,Beijing,50
Work,China,Berlin,57
Family,Australia,Sydney,17
Family,Brazil,Delhi,21
Student,China,London,24
Tourist,Germany,Sao Paulo,59
Business,France,Paris,59
Business,UK,Sao Paulo,53
Student,UK,New York,59
Family,USA,Delhi,43
Family,Australia,Sao Paulo,15
Business,Australia,Delhi,36
Student,India,Berlin,36
Work,Japan,Berlin,36
Tourist,USA,Sao Paulo,47
Family,China,Delhi,19
Family,Japan,Toronto,57
Family,Germany,Paris,52
Work,UK,Tokyo,46
Work,Brazil,Paris,36
Tourist,USA,Sao Paulo,54
Family,Japan,Paris,37
Business,USA,Toronto,18
Family,China,London,37
Tourist,USA,New York,40
Tourist,Germany,Toronto,50
Business,Australia,Berlin,58
Work,France,Delhi,13
Business,UK,New York,57
Tourist,Germany,London,59
Business,France,Sydney,31
Family,India,Toronto,42
Tourist,France,London,34
Work,India,Delhi,29
Work,Australia,Delhi,10
Business,USA,Tokyo,25
Business,Japan,Paris,11
Business,Brazil,Toronto,18
Family,Brazil,Tokyo,22
Work,Brazil,Sydney,15
Tourist,UK,New York,58
Tourist,China,Beijing,21
Work,Brazil,Delhi,50
Business,Canada,Sydney,22
Student,UK,Delhi,17
Business,Germany,Paris,50
Work,USA,New York,10
Family,Germany,New York,19
Business,Canada,Delhi,10
Tourist,Japan,Berlin,26
Family,USA,Sao Paulo,30
Work,Japan,Tokyo,52
Student,Japan,Paris,21
Business,France,New York,15
Family,Canada,Sydney,11
Family,UK,Beijing,45
Tourist,Brazil,Beijing,12
Business,India,Sao Paulo,53
Student,Brazil,Beijing,27
Family,UK,Delhi,39
Tourist,Australia,Tokyo,29
Business,China,New York,41
Business,Australia,Delhi,30
Student,China,Sao Paulo,33
Tourist,Japan,Sydney,29
Student,France,Sydney,47
Family,Brazil,New York,19
Work,Australia,New York,55
Work,Brazil,Sydney,15
Student,France,London,26
Student,Germany,Beijing,46
Work,Canada,Sao Paulo,11
Family,Japan,Berlin,29
Student,China,Toronto,24
Family,China,Delhi,38
Family,Brazil,Berlin,16
Tourist,Japan,Toronto,45
Family,China,New York,56
Business,China,Sydney,57
Work,France,Beijing,37
Work,Australia,Beijing,34
Student,Germany,Toronto,54
Student,China,Delhi,14
Tourist,India,Sao Paulo,59
Tourist,China,Sao Paulo,55
Business,China,Paris,39
Student,USA,Toronto,39
Work,France,Sydney,43
Business,Canada,Delhi,16
Student,Japan,Delhi,59
Business,Canada,Paris,59
Family,China,Sao Paulo,60
Family,UK,Tokyo,58
Business,Brazil,Toronto,26
Student,Brazil,Tokyo,14
Family,India,Beijing,48
Family,Germany,Beijing,23
Business,Japan,Toronto,18
Family,USA,New York,10
Work,China,Toronto,28
Family,France,Delhi,42
Business,Japan,Tokyo,59
Family,Japan,Sao Paulo,58
Family,Australia,Berlin,27
Tourist,USA,Tokyo,17
Business,India,New York,11
Business,China,Sydney,15
Tourist,Australia,Paris,47
Tourist,USA,New York,38
Work,Australia,Toronto,13
Family,India,New York,55
Student,Australia,Toronto,16
Student,Canada,Berlin,31
Tourist,USA,Delhi,53
Business,China,Delhi,10
Business,Japan,Delhi,26
Work,USA,Toronto,51
Student,Canada,Toronto,49
Business,UK,Sao Paulo,49
Work,USA,Delhi,33
Work,Brazil,Tokyo,53
Tourist,France,Sao Paulo,38
Student,Brazil,Paris,17
Work,Japan,Sydney,26
Work,Australia,New York,59
Work,Canada,Sydney,26
Student,Germany,Paris,47
Tourist,UK,Toronto,52
Family,Australia,London,29
Business,Germany,Tokyo,41
Student,India,Tokyo,26
Student,China,Delhi,35
Student,Germany,Berlin,60
Family,Brazil,Toronto,39
Business,Australia,Delhi,60
Business,Brazil,Tokyo,53
Work,USA,Berlin,57
Work,France,Toronto,30
Tourist,Germany,Beijing,57
Student,USA,Delhi,32
Tourist,Japan,Toronto,35
Student,Australia,Paris,22
Business,USA,Tokyo,12
Tourist,Canada,Paris,10
Business,India,New York,31
Work,USA,Sydney,54
Business,Japan,Berlin,30
Family,Brazil,Paris,59
Tourist,India,Berlin,52
Student,China,Sao Paulo,47
Business,Japan,Delhi,29
Tourist,China,Toronto,34
Student,Brazil,Toronto,27
Tourist,India,London,54
Tourist,Canada,Sydney,22
Family,Australia,Sydney,28
Business,India,Paris,10
Family,France,Toronto,48
Work,India,Delhi,27
Tourist,Australia,London,32
Business,Japan,Tokyo,34
Work,UK,Berlin,54
Work,Canada,Toronto,49
Family,India,Delhi,52
Work,India,Beijing,26
Student,USA,Paris,51
Student,Australia,Delhi,31
Student,Germany,Paris,45
Work,Canada,Sydney,46
Tourist,India,Sao Paulo,25
Business,India,New York,35
Student,India,Berlin,41
Student,UK,New York,27
Student,China,Delhi,59
Family,France,Berlin,46
Family,Japan,Paris,39
Student,Canada,Berlin,30
Student,China,Tokyo,34
Family,Brazil,Berlin,25
Business,Japan,Berlin,18
Tourist,Australia,Beijing,44
Business,UK,New York,41
Tourist,Germany,Tokyo,47
Work,Japan,Beijing,19
Work,Brazil,Tokyo,11
Business,USA,New York,33
Family,Japan,Beijing,43
Student,USA,Toronto,38
Work,Canada,Sydney,48
Family,India,Berlin,39
Family,USA,Sydney,50
Tourist,Germany,Beijing,40
Work,China,Sydney,55
Business,Germany,London,49
Family,China,Delhi,57
Business,India,Paris,25
Business,Australia,Beijing,39
Work,Japan,Tokyo,44
Business,Australia,Delhi,47
Business,Germany,Delhi,20
Student,Germany,Berlin,52
Business,India,London,15
Student,USA,Sao Paulo,27
Work,India,Sydney,54
Business,India,Beijing,16
Family,France,London,24
Business,China,Paris,52
Student,Brazil,Sydney,38
Family,France,Delhi,47
Work,Canada,Sydney,13
Tourist,India,New York,38
Tourist,Japan,Tokyo,25
Student,UK,Delhi,25
Work,Germany,Berlin,59
Work,Germany,London,14
Business,Brazil,Toronto,27
Tourist,Brazil,London,30
Business,China,New York,34
Work,France,Beijing,10
Student,France,Paris,45
Student,USA,Berlin,51
Family,France,Paris,52
Student,Canada,New York,15
Tourist,USA,Tokyo,13
Family,Australia,Beijing,13
Tourist,France,Beijing,10
Business,China,Paris,42
Business,Brazil,Tokyo,12
Student,Japan,New York,16
Family,France,Beijing,25
Tourist,Germany,Delhi,32
Tourist,Germany,Sao Paulo,25
Work,France,Sao Paulo,10
Student,Germany,Toronto,54
Business,India,Beijing,11
Work,Canada,Delhi,53
Business,USA,Tokyo,53
Business,Canada,Paris,20
Tourist,Canada,Delhi,51
Business,Australia,London,10
Family,Australia,Toronto,23
Business,Australia,Berlin,11
Family,Germany,Toronto,41
Business,USA,Paris,39
Work,China,New York,41
Tourist,Canada,Berlin,25
Work,Brazil,Toronto,52
Tourist,Germany,Tokyo,36
Work,USA,Paris,46
Student,France,Paris,39
Business,USA,Delhi,10
Business,Canada,Delhi,20
Student,Japan,Beijing,42
Student,USA,London,60
Family,USA,Beijing,38
Work,USA,Sydney,37
Business,Germany,New York,38
Family,Canada,Beijing,55
Business,Japan,Beijing,27
Student,China,Berlin,47
Family,India,New York,20
Family,France,Berlin,27
Family,Australia,Sao Paulo,35
Work,Japan,Paris,53
Family,UK,New York,32
Business,Brazil,Paris,44
Work,Germany,Sao Paulo,45
Business,India,Toronto,19
Family,USA,Beijing,34
Family,Canada,Toronto,32
Business,Brazil,Sao Paulo,23
Tourist,USA,New York,55
Family,France,Sydney,27
Family,Canada,Toronto,41
Work,Japan,Toronto,16
Business,UK,Paris,24
Family,Australia,Toronto,53
Business,China,Toronto,42
Work,Germany,Tokyo,23
Business,Germany,Berlin,11
Business,Canada,Tokyo,23
Work,Brazil,Paris,45
Family,Canada,Toronto,36
Business,China,Tokyo,59
Tourist,Japan,Sydney,16
Family,Germany,Tokyo,37
Work,Australia,Beijing,19
Student,UK,Berlin,15
Tourist,Canada,Tokyo,37
Family,China,New York,12
Work,Canada,Delhi,55
Tourist,USA,Sydney,39
Family,Canada,Beijing,43
Student,Germany,Delhi,49
Family,Brazil,Sao Paulo,35
Student,Brazil,Berlin,59
Student,UK,New York,45
Business,China,Beijing,12
Work,India,Sydney,60
Business,Japan,Sydney,53
Student,UK,Berlin,53
Work,Brazil,Paris,53
Work,Australia,London,12
Work,India,Delhi,12
Tourist,Canada,Sydney,53
Family,Brazil,Sydney,37
Student,Canada,Sao Paulo,37
Work,Canada,Berlin,35
Tourist,India,New York,25
Tourist,Germany,Sydney,20
Student,Canada,London,41
Business,India,Berlin,35
Tourist,France,Toronto,16
Student,Australia,Tokyo,55
Tourist,Germany,Paris,44
Student,China,Toronto,54
Work,India,London,43
Business,France,Sao Paulo,37
Tourist,India,Delhi,57
Tourist,Japan,Sao Paulo,14
Tourist,Australia,Delhi,21
Family,Canada,Beijing,36
Family,USA,London,26
Work,France,Berlin,32
Tourist,Japan,Tokyo,34
Business,UK,Paris,22
Family,Brazil,Sao Paulo,17
Student,France,Berlin,27
Student,Brazil,Paris,25
Student,Canada,Paris,22
Work,Brazil,New York,15
Tourist,China,Beijing,33
Tourist,Brazil,Sydney,37
Family,Japan,New York,35
Student,Germany,Tokyo,24
Work,China,Sao Paulo,41
Business,Canada,New York,54
Tourist,Canada,Sydney,42
Tourist,USA,Delhi,35
Work,Canada,New York,58
Family,UK,Paris,52
Work,Canada,Sydney,45
Family,India,New York,58
Tourist,France,Paris,57
Family,Japan,Delhi,20
Family,Japan,Toronto,45
Family,France,Sao Paulo,37
Family,USA,New York,23
Student,USA,Toronto,40
Student,Brazil,Sydney,11
Student,Canada,Sao Paulo,21
Student,Australia,Sydney,46
Work,Canada,Sydney,53
Business,India,Sao Paulo,26
Family,India,Sao Paulo,49
Work,France,Delhi,38
Student,Canada,Delhi,18
Family,France,Sao Paulo,10
Business,UK,Toronto,10
Family,Canada,New York,47
Tourist,USA,Tokyo,15
Tourist,France,Tokyo,28
Work,India,New York,35
Business,Canada,Toronto,60
Work,Germany,New York,31
Family,Brazil,Paris,10
Business,Canada,Delhi,45
Work,UK,Beijing,13
Family,China,Delhi,25
Student,Japan,Berlin,33
Family,Canada,Berlin,56
Work,UK,New York,26
Business,Germany,Paris,23
Business,Australia,Berlin,37
Student,UK,Paris,52
Work,Brazil,London,29
Student,UK,Paris,24
Tourist,China,London,57
Family,Brazil,Delhi,27
Tourist,UK,Beijing,42
Tourist,Australia,New York,30
Student,India,Toronto,43
Student,India,Sao Paulo,53
Family,Germany,Toronto,18
Student,France,Tokyo,46
Student,China,Paris,19
Student,Germany,London,53
Student,USA,Delhi,13
Student,Japan,Sao Paulo,39
Tourist,Japan,Sao Paulo,47
Tourist,Germany,Sydney,26
Family,Canada,Delhi,53
Business,Germany,Paris,32
Family,Germany,Toronto,14
Work,UK,Tokyo,44
Family,Germany,London,33
Family,UK,Paris,34
Student,UK,Paris,32
Student,Germany,Delhi,43
Student,Germany,Sao Paulo,24
Business,Australia,New York,20
Student,Germany,New York,44
Work,Brazil,Berlin,19
Tourist,Brazil,Toronto,12
Work,Canada,Sydney,36
Business,Japan,Beijing,19
Student,India,Beijing,19
Family,Canada,Sydney,10
Tourist,UK,London,18
Business,France,Sydney,58
Work,Germany,Berlin,36
Student,India,Berlin,40
Business,Japan,Tokyo,16
Business,Canada,Toronto,26
Family,India,Tokyo,48
Family,India,London,28
Family,France,London,52
Work,UK,Sydney,12
Family,Japan,Beijing,43
Business,France,New York,22
Business,Australia,Berlin,57
Business,Australia,Beijing,25
Tourist,Canada,Tokyo,38
Tourist,USA,Beijing,13
Work,Australia,Sao Paulo,25
Family,France,Beijing,28
Business,Australia,Delhi,36
Family,Germany,Toronto,48
Business,USA,Paris,42
Tourist,USA,Tokyo,25
Business,UK,New York,55
Work,Brazil,Delhi,31
Student,Germany,Tokyo,33
Business,France,London,47
Work,China,London,56
Tourist,Brazil,Paris,24
Tourist,Australia,Paris,20
Student,Japan,Tokyo,34
Family,Germany,Beijing,50
Family,China,Sao Paulo,17
Business,France,Tokyo,25
Tourist,France,London,60
Work,Germany,London,26
Student,Canada,Tokyo,48
Family,Brazil,Delhi,44
Business,Brazil,Delhi,57
Business,Australia,Sao Paulo,10
Tourist,Brazil,Beijing,59
Work,UK,New York,31
Work,UK,Toronto,37
Family,China,Sydney,56
Business,USA,New York,31
Tourist,Australia,Delhi,11
Work,UK,London,15
Business,USA,Sydney,24
Work,Japan,Delhi,54
Student,India,Beijing,39
Work,China,Paris,31
Work,Japan,Tokyo,22
Business,Canada,Tokyo,38
Work,Australia,Berlin,46
Work,China,Berlin,47
Student,Brazil,Beijing,30
Work,Australia,Berlin,59
Work,Germany,New York,39
Business,Australia,Paris,26
Tourist,Australia,New York,56
Student,UK,Beijing,39
Work,France,Delhi,43
Tourist,France,Delhi,46
Business,China,Berlin,39
Student,France,Sao Paulo,41
Business,Japan,Tokyo,45
Tourist,Canada,Delhi,43
Student,UK,Toronto,16
Work,Germany,Delhi,26
Tourist,China,Berlin,58
Business,France,Sydney,49
Student,UK,New York,53
Tourist,India,Paris,36
Tourist,Canada,Toronto,52
Business,Australia,Sydney,38
Business,Japan,Beijing,57
Work,UK,London,59
Work,Australia,Paris,46
Tourist,France,Berlin,15
Business,Brazil,Berlin,34
Tourist,China,New York,47
Family,Brazil,London,60
Business,Brazil,Delhi,24
Family,Australia,Toronto,32
Family,UK,Berlin,46
Business,Brazil,London,49
Work,Japan,Tokyo,33
Tourist,Australia,Paris,52
Student,USA,London,42
Student,Germany,Paris,56
Business,Germany,Delhi,30
Work,India,Beijing,44
Work,China,Tokyo,39
Work,India,Toronto,49
Student,Australia,Sydney,39
Family,Canada,Berlin,35
Student,UK,Toronto,57
Work,Japan,Sao Paulo,40
Student,Japan,Paris,32
Student,Australia,Paris,43
Tourist,Australia,Berlin,56
Business,Japan,Sao Paulo,34
Family,USA,Sao Paulo,19
Tourist,India,Tokyo,21
Business,Brazil,London,16
Work,UK,Berlin,38
Tourist,France,Sydney,40
Business,USA,Delhi,43
Tourist,France,Sydney,53
Student,Brazil,Delhi,25
Student,Australia,Paris,28
Tourist,China,Sydney,22
Tourist,China,Sydney,34
Family,Germany,Berlin,41
Work,Germany,Sao Paulo,34
Student,Japan,Sao Paulo,19
Tourist,China,Toronto,56
Business,Japan,London,27
Work,China,New York,47
Business,USA,Paris,50
Work,Germany,Sydney,32
Business,Japan,New York,43
Student,Brazil,Toronto,57
Tourist,USA,Berlin,11
Tourist,Australia,London,37
Family,Australia,Sao Paulo,54
Tourist,Brazil,Paris,17
Student,UK,Sao Paulo,46
Work,France,Sydney,14
Work,Canada,New York,38
Tourist,China,Berlin,27
Business,China,Toronto,46
Tourist,Canada,Berlin,59
Work,Brazil,Berlin,60
Family,China,London,28
Work,Australia,New York,28
Business,France,Beijing,12
Business,USA,Paris,58
Family,Germany,London,15
Business,Australia,Sao Paulo,36
Tourist,China,New York,17
Tourist,USA,London,19
Work,India,Delhi,46
Student,France,Sydney,18
Tourist,France,Toronto,28
Tourist,Japan,Sao Paulo,58
Family,Canada,Beijing,42
Tourist,Japan,Berlin,44
Work,China,London,40
Family,Brazil,Sao Paulo,54
Tourist,China,Sydney,25
Work,Canada,New York,23
Family,UK,New York,29
Student,Canada,Sydney,43
Work,Canada,London,57
Tourist,Brazil,London,46
Family,China,Berlin,17
Student,Canada,Delhi,14
Work,Canada,Sydney,16
Student,Japan,New York,10
Work,India,Berlin,25
Tourist,Germany,New York,35
Work,India,London,18
Tourist,India,Tokyo,38
Work,UK,Sao Paulo,36
Family,Canada,Sydney,51
Work,Japan,New York,33
Work,Japan,Tokyo,55
Business,India,Toronto,19
Business,UK,Sydney,16
Work,India,Berlin,37
Business,India,London,29
Tourist,Japan,Beijing,53
Business,USA,Paris,58
Work,India,Tokyo,43
Student,Australia,Toronto,38
Student,USA,Sydney,58
Work,Canada,London,50
Work,UK,Sao Paulo,11
Student,Brazil,Sao Paulo,11
Family,Canada,Sao Paulo,26
Business,France,Berlin,39
Family,Australia,Paris,19
Tourist,France,Sydney,41
Student,Australia,Toronto,60
Student,China,Paris,16
Family,China,New York,31
Tourist,Brazil,Sao Paulo,26
Family,Brazil,Delhi,24
Tourist,UK,Beijing,47
Work,France,London,24
Work,Brazil,Toronto,36
Student,Japan,Paris,54
Work,France,Delhi,55
Family,Japan,New York,10
Tourist,Brazil,Sydney,52
Student,Japan,Delhi,39
Work,UK,Berlin,54
Student,China,Toronto,18
Student,UK,Berlin,49
Tourist,Canada,Beijing,33
Family,Japan,Sydney,54
Family,UK,New York,50
Business,Australia,London,17
Family,China,Delhi,47
Work,India,Sydney,20
Business,France,Tokyo,38
Business,UK,Delhi,58
Business,France,Sydney,35
Business,Canada,Berlin,16
Family,France,Beijing,49
Business,India,Toronto,19
Work,Australia,Sao Paulo,36
Work,UK,New York,13
Student,Canada,Sydney,44
Work,China,Beijing,49
Student,Japan,Delhi,46
Work,UK,Sao Paulo,33
Business,Germany,Delhi,35
Tourist,China,Sao Paulo,55
Business,UK,Sao Paulo,36
Family,Brazil,Tokyo,51
Student,UK,New York,39
Tourist,China,Sao Paulo,41
Work,Germany,London,58
Business,Japan,Delhi,35
Student,Australia,London,38
Student,India,Sydney,51
Work,France,Tokyo,29
Student,USA,Beijing,33
Work,Japan,Beijing,60
Work,UK,Sydney,46
Business,Brazil,Delhi,43
Student,Germany,London,10
Family,Australia,New York,26
Family,Japan,Berlin,41
Business,UK,New York,59
Business,USA,Beijing,31
Work,UK,Beijing,32
Family,China,Berlin,60
Student,Canada,Sao Paulo,34
Family,Australia,Sao Paulo,47
Business,Germany,New York,40
Business,Brazil,Beijing,26
Work,UK,London,31
Student,Japan,Tokyo,24
Business,UK,Toronto,38
Student,UK,Berlin,56
Family,France,Sao Paulo,26
Work,Brazil,Sydney,16
Family,UK,Paris,60
Business,Germany,Berlin,35
Business,India,Sao Paulo,34
Student,India,Sao Paulo,58
Business,Canada,Tokyo,52
Student,Japan,Tokyo,45
Tourist,France,Beijing,15
Business,USA,Beijing,48
Family,France,Beijing,50
Family,Brazil,Tokyo,13
Student,Japan,Sydney,23
Tourist,China,London,31
Business,Japan,Toronto,31
Work,China,Sao Paulo,55
Work,France,Sao Paulo,34
Family,Germany,Beijing,60
Business,Germany,Toronto,40
Work,Japan,Paris,57
Student,France,Paris,51
Business,Brazil,Sydney,14
Family,Brazil,Paris,50
Tourist,Australia,Paris,37
Student,China,Sydney,18
Student,Canada,London,54
Business,China,Tokyo,57
Tourist,India,Paris,34
Student,Australia,Beijing,40
Tourist,Japan,Toronto,11
Family,Germany,Beijing,23
Student,Brazil,Delhi,46
Work,China,Berlin,18
Family,India,Toronto,39
Family,France,Tokyo,30
Student,USA,Paris,37
Work,USA,New York,43
Tourist,Germany,Sao Paulo,51
Work,France,New York,44
Family,USA,Tokyo,49
Student,USA,Sao Paulo,19
Work,China,Toronto,45
Work,Japan,Beijing,22
Family,Japan,Berlin,43
Tourist,France,Tokyo,35
Work,Germany,London,27
Work,France,New York,18
Business,Germany,Delhi,35
Family,UK,New York,11
Business,China,Paris,57
Family,USA,Sydney,57
Family,France,London,19
Business,France,Sao Paulo,14
Tourist,Germany,Paris,37
Tourist,Japan,Toronto,25
Family,Germany,Sydney,40
Business,UK,Berlin,50
Work,France,Beijing,48
Family,UK,Berlin,33
Family,India,Sao Paulo,59
Student,India,Berlin,19
Tourist,China,Tokyo,46
Business,USA,London,54
Work,Brazil,Toronto,33
Work,France,Toronto,46
Family,India,Tokyo,57
Work,Australia,Paris,55
Work,China,Sydney,35
Family,France,Paris,29
Tourist,UK,Sao Paulo,22
Student,Canada,Delhi,31
Tourist,Germany,Sydney,30
Tourist,India,Beijing,39
Student,China,Beijing,54
Family,USA,Berlin,13
Tourist,China,Sao Paulo,17
Business,USA,Tokyo,31
Business,USA,Delhi,56
Student,Brazil,Beijing,58
Business,Germany,Sydney,58
Family,France,Sydney,22
Work,Germany,Paris,45
Family,Japan,Sydney,42
Student,France,Sydney,23
Work,France,Beijing,35
Business,Australia,Paris,20
Tourist,Canada,London,16
Business,India,Beijing,20
Family,USA,London,12
Family,Brazil,Delhi,27
Student,India,Beijing,13
Tourist,Japan,Toronto,19
Tourist,China,Sao Paulo,40
Work,UK,Toronto,21
Work,Brazil,Tokyo,43
Family,USA,Beijing,30
Student,Germany,New York,25
Family,Australia,Sao Paulo,37
Tourist,Brazil,Berlin,38
Tourist,Brazil,Tokyo,46
Family,Germany,Beijing,47
Tourist,India,Beijing,15
Work,India,Tokyo,36
Tourist,Brazil,Beijing,29
Work,China,Toronto,31
Business,Canada,Delhi,11
Student,USA,New York,27
Student,Brazil,Berlin,30
Tourist,Australia,Paris,15
Student,USA,Tokyo,32
Business,Germany,Sydney,43
Tourist,Brazil,Beijing,23
Work,USA,Beijing,13
Business,India,Tokyo,25
Business,Japan,Beijing,48
Student,China,London,30
Work,India,New York,28
Family,France,Berlin,38
Business,Japan,Beijing,34
Student,Australia,Sydney,58
Business,Brazil,Beijing,49
Work,Brazil,Delhi,28
Work,China,Tokyo,22
Tourist,USA,Delhi,31
Family,France,London,47
Family,UK,London,37
Student,Australia,Berlin,18
Family,Australia,Delhi,26
Work,India,Sydney,43
Family,Germany,Delhi,14
Student,Germany,Berlin,16
Business,Canada,Beijing,40
Family,USA,Delhi,50
Family,China,Paris,38
Work,Germany,Sao Paulo,16
Work,Australia,Sydney,17
Business,Japan,Toronto,59
Tourist,France,Sydney,43
Family,Canada,Paris,48
Work,Germany,Sydney,26
Tourist,UK,New York,57
Family,China,Sydney,57
Family,Germany,Tokyo,13
Tourist,India,Delhi,55
Work,Japan,New York,33
Business,Germany,London,40
Family,Japan,Toronto,21
Student,Germany,Sydney,33
Student,Canada,London,18
Student,India,Paris,14
Business,Germany,Sydney,42
Family,Brazil,Tokyo,58
Work,Japan,Delhi,42
Work,UK,London,50
Business,Canada,Beijing,57
Family,Brazil,Berlin,54
Tourist,UK,New York,30
Tourist,India,Beijing,14
Family,France,London,16
Family,Germany,Berlin,50
Work,Brazil,Tokyo,37
Business,France,Berlin,17
Business,UK,Beijing,45
Work,Canada,New York,23
Student,Germany,Berlin,13
Tourist,Japan,Paris,33
Family,Australia,Berlin,45
Tourist,UK,Beijing,17
Tourist,Germany,Berlin,43
Business,Germany,Beijing,42
Work,UK,Sydney,32
Student,Canada,Sydney,25
Student,Australia,Tokyo,29
Work,India,Beijing,27
Tourist,India,Berlin,45
Work,China,Berlin,50
Work,Brazil,Tokyo,29
Family,Germany,Berlin,23
Family,Germany,New York,26
Tourist,France,Sydney,16
Business,Australia,Paris,26
Student,Germany,Tokyo,46
Family,Australia,New York,10
Tourist,Canada,Paris,56
Work,Brazil,Toronto,50
Family,Australia,Sao Paulo,38
Work,Brazil,Sydney,50
Work,China,Delhi,28
Family,Germany,Paris,42
Tourist,France,Delhi,25
Student,France,Delhi,48
Tourist,China,Paris,13
Business,UK,Berlin,44
Business,Germany,Toronto,14
Student,Germany,Sydney,25
Business,UK,Delhi,52
Work,India,Sao Paulo,37
Business,UK,Beijing,11
Family,UK,Beijing,43
Work,Australia,London,23
Tourist,USA,Sydney,37
Student,China,Toronto,32
Family,Canada,Sydney,48
Family,Australia,Sao Paulo,54
Student,Brazil,Paris,26
Business,Japan,Beijing,26
Student,Brazil,Berlin,23
Student,Canada,Tokyo,48
Business,USA,London,35
Tourist,Germany,Berlin,41
Student,Brazil,Tokyo,39
Business,India,Delhi,53
Family,France,Beijing,45
Student,Germany,Paris,22
Student,France,Paris,51
Tourist,India,London,22
Tourist,Australia,Toronto,35
Family,Canada,Sydney,39
Tourist,USA,Delhi,46
Family,France,Sao Paulo,56
Student,Brazil,New York,43
Business,USA,London,11
Tourist,USA,Berlin,56
Family,Japan,New York,35
Tourist,Australia,Toronto,37
Tourist,UK,Sao Paulo,54
Work,Japan,Tokyo,10
Student,USA,Delhi,16
Tourist,France,Paris,12
Business,China,Paris,40
Work,Brazil,Paris,58
Family,USA,Toronto,12
